Request Code	Department	Request Group	New Request Type	Business Description	Proposed Workflow	Needs Approval?	Approval Role	Default Priority	First Response SLA	Resolution SLA	Required Fields	Required Documents	Allow Transfer?	Allow Reopen?	Business Decision	Business Comments
FM-UTL-001	Facilities Management	Maintenance	Utilities Inquiry	Inquiry or issue related to utilities.	FM Queue → Agent → Review/coordinate → Resolve → Close	No		Normal	4 business hours	1 business day	Customer, Project, Unit, Utility type	Supporting document if applicable	Yes	Yes		
FM-COM-001	Facilities Management	Maintenance	Common Area Maintenance	Maintenance issue in a shared/common area.	FM Queue → Agent/Technician → In Progress → Resolve → Close	No		Normal	2 business hours	Based on severity	Project/Building, Location, Issue details	Photos if available	Yes	Yes		
FM-SVC-001	Facilities Management	Service Charge	Service Charge Inquiry	Inquiry regarding service charges.	FM/Responsible Finance Queue → Agent → Review → Resolve → Close	No		Normal	4 business hours	1 business day	Customer, Project, Unit	Statement/invoice if applicable	Yes	Yes		
LCS-TEN-001	Leasing Customer Services	Leasing	Tenancy Contract	Request or inquiry related to tenancy contract.	Leasing CS Queue → Agent → Process/Review → Resolve → Close	Conditional	Leasing Supervisor / Authorized Approver	Normal	4 business hours	2 business days	Customer/Tenant, Property/Unit	Required tenancy documents	Yes	Yes		
LCS-EJR-001	Leasing Customer Services	Leasing	Ejari	Request or inquiry related to Ejari registration.	Leasing CS Queue → Agent → Process/Review → Resolve → Close	Conditional	Leasing Supervisor / Authorized Approver	Normal	4 business hours	2 business days	Customer/Tenant, Property/Unit	Required Ejari documents	Yes	Yes		
LCS-BKG-001	Leasing Customer Services	Leasing	Booking	Leasing booking inquiry or request.	Leasing CS Queue → Agent → Confirm booking/details → Resolve → Close	No		Normal	4 business hours	1 business day	Customer/Tenant, Property/Unit	Booking document if applicable	Yes	Yes		
LCS-MOV-001	Leasing Customer Services	Leasing	Move-In / Move-Out	Leasing move-in or move-out coordination.	Leasing CS Queue → Agent → Coordinate → Resolve → Close	No		Normal	4 business hours	1 business day	Customer/Tenant, Property/Unit, Move date	Required move-in/out documents if applicable	Yes	Yes		
LCS-CHK-001	Leasing Customer Services	Leasing	Rent / DEWA / AC Cheque Inquiry	Inquiry regarding rent, DEWA or air-conditioning cheques.	Leasing CS Queue → Agent → Review → Resolve → Close	No		Normal	4 business hours	1 business day	Customer/Tenant, Property/Unit, Cheque type/details	Cheque copy if applicable	Yes	Yes		
BRK-COM-001	Customer Service	Broker Inquiries	Broker Commission Inquiry	Broker inquiry related to commission status/payment.	CS Queue →Cs Agent  → Admin sales →Review → Resolve → Close	Conditional	Responsible Manager	Normal	4 business hours	2 business days	Broker, Project/Unit, Deal reference	Supporting commission documents if needed	Yes	Yes		
BRK-CHK-001	Customer Service	Broker Inquiries	Broker Cheque Collection	Broker request/inquiry related to cheque collection.	CS Queue →Cs Agent  → Admin sales → Confirm collection → Resolve → Close	No		Normal	4 business hours	1 business day	Broker, Deal reference, Cheque details	Supporting document if needed	Yes	Yes		
SAL-INQ-001	Customer Service	Sales	Property Sales Inquiry	Customer inquiry about available properties or sales.	CS / Call Center → Sales Handoff → Follow-up → Resolve / Close	No		Normal	2 business hours	1 business day	Customer, Contact details, Interested project/unit if known	None	Yes	Yes		
LEG-INQ-001	Customer Service	Legal	Legal Notice / Permit / Approval Inquiry	Customer inquiry involving legal notice, permit or approval.	CS Intake → Legal Handoff → Legal Review/Response → CS Resolve → Close	Conditional	Legal / Authorized Approver	High	2 business hours	2 business days	Customer, Project/Unit, Legal request details	Legal notice / relevant documents	Yes	Yes		
REC-HR-001	Customer Service	Reception	HR Inquiry	Reception inquiry that should be routed to HR.	Reception / CS → HR Handoff → Acknowledge/Resolve → Close	No		Low	4 business hours	1 business day	Requester details, Description	None	Yes	Yes		
REC-MKT-001	Customer Service	Reception	Marketing Inquiry	Reception inquiry that should be routed to Marketing.	Reception / CS → Marketing Handoff → Acknowledge/Resolve → Close	No		Low	4 business hours	1 business day	Requester details, Description	None	Yes	Yes		
REC-OTH-001	Customer Service	Reception	Other Reception Inquiry	Reception inquiry that does not match a predefined type.	Reception / CS → Route to Responsible Department → Resolve → Close	No		Normal	4 business hours	1 business day	Requester details, Description	None	Yes	Yes		
